Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
15780.64,5967.61,75213072,75213072,100.0,rowmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,c,,0,0,Memcpy,2024-07-31T22_11_11
437.38,2442.88,75213072,24199552,32.17,rowmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,c,,0,0,SprintzDelta -18,2024-07-31T22_11_11
408.14,1401.98,75213072,19981585,26.57,rowmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,c,,0,0,SprintzDelta_Huf -18,2024-07-31T22_11_11
491.68,2575.74,75748698,17446114,23.03,rowmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,c,,0,0,SprintzDelta -18,2024-07-31T22_11_11
419.09,1595.48,75748698,12777371,16.87,rowmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,c,,0,0,SprintzDelta_Huf -18,2024-07-31T22_11_11
491.81,2655.91,150961860,32364178,21.44,rowmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,c,,0,0,SprintzDelta -18,2024-07-31T22_11_11
431.43,1724.6,150961860,22462720,14.88,rowmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,c,,0,0,SprintzDelta_Huf -18,2024-07-31T22_11_11
16695.35,6466.26,75213072,75213072,100.0,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Memcpy,2024-07-31T22_13_45
104.55,333.4,75213072,21951721,29.19,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Zlib -1,2024-07-31T22_13_45
3.96,354.98,75213072,20758049,27.6,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Zlib -9,2024-07-31T22_13_45
385.33,683.46,75213072,28446132,37.82,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Zstd -1,2024-07-31T22_13_45
34.68,672.33,75213072,21351016,28.39,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Zstd -9,2024-07-31T22_13_45
567.46,1517.32,75213072,38310592,50.94,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,LZ4,2024-07-31T22_13_45
569.61,555.01,75213072,34351148,45.67,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,LZO -1,2024-07-31T22_13_45
569.46,548.55,75213072,34351148,45.67,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,LZO -9,2024-07-31T22_13_45
1055.63,948.6,75213072,50781065,67.52,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Huffman,2024-07-31T22_13_45
451.14,887.83,75213072,34598245,46.0,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Snappy,2024-07-31T22_13_45
234.31,267.86,75213072,27091923,36.02,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Brotli -1,2024-07-31T22_13_45
5.94,426.65,75213072,19948807,26.52,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,,0,0,Brotli -9,2024-07-31T22_13_45
150.05,437.68,75748698,13947415,18.41,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Zlib -1,2024-07-31T22_13_45
4.86,423.57,75748698,12456148,16.44,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Zlib -9,2024-07-31T22_13_45
470.18,763.79,75748698,15863400,20.94,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Zstd -1,2024-07-31T22_13_45
46.95,958.27,75748698,12666110,16.72,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Zstd -9,2024-07-31T22_13_45
763.02,1590.92,75748698,24616731,32.5,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,LZ4,2024-07-31T22_13_45
792.11,613.96,75748698,22155970,29.25,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,LZO -1,2024-07-31T22_13_45
792.38,611.44,75748698,22155970,29.25,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,LZO -9,2024-07-31T22_13_45
1054.93,1062.24,75748698,41752412,55.12,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Huffman,2024-07-31T22_13_45
605.1,972.08,75748698,22334958,29.49,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Snappy,2024-07-31T22_13_45
323.18,344.11,75748698,15632573,20.64,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Brotli -1,2024-07-31T22_13_45
8.23,606.09,75748698,11780088,15.55,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,,0,0,Brotli -9,2024-07-31T22_13_45
162.69,451.99,150961860,24756230,16.4,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Zlib -1,2024-07-31T22_13_45
4.26,457.41,150961860,21206689,14.05,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Zlib -9,2024-07-31T22_13_45
501.24,751.69,150961860,26193839,17.35,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Zstd -1,2024-07-31T22_13_45
51.61,1049.02,150961860,21687439,14.37,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Zstd -9,2024-07-31T22_13_45
852.71,1586.51,150961860,44411728,29.42,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,LZ4,2024-07-31T22_13_45
883.71,628.31,150961860,40238675,26.65,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,LZO -1,2024-07-31T22_13_45
880.88,635.89,150961860,40238675,26.65,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,LZO -9,2024-07-31T22_13_45
1038.63,1083.9,150961860,80631273,53.41,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Huffman,2024-07-31T22_13_45
651.8,996.99,150961860,39783580,26.35,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Snappy,2024-07-31T22_13_45
356.32,359.06,150961860,26778597,17.74,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Brotli -1,2024-07-31T22_13_45
8.68,664.62,150961860,20160133,13.35,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,,0,0,Brotli -9,2024-07-31T22_13_45
17547.94,6397.88,150426144,150426144,100.0,rowmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,c,,0,0,Memcpy,2024-07-31T22_13_50
1276.34,3299.07,150426144,88598552,58.9,rowmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,c,,0,0,SprintzDelta_16b -18,2024-07-31T22_13_50
703.62,1175.4,150426144,87731636,58.32,rowmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,c,,0,0,SprintzDelta_Huf_16b -18,2024-07-31T22_13_50
1262.59,3334.74,151497396,79407404,52.42,rowmajor/uint16/uci_gas/ethylene_CO.dat,uci_gas,-1,1,16,c,,0,0,SprintzDelta_16b -18,2024-07-31T22_13_50
725.36,1258.49,151497396,78133971,51.57,rowmajor/uint16/uci_gas/ethylene_CO.dat,uci_gas,-1,1,16,c,,0,0,SprintzDelta_Huf_16b -18,2024-07-31T22_13_50
1230.13,3340.39,301923720,155286250,51.43,rowmajor/uint16/uci_gas/uci_gas.dat,uci_gas,-1,1,16,c,,0,0,SprintzDelta_16b -18,2024-07-31T22_13_50
719.52,1285.93,301923720,152489792,50.51,rowmajor/uint16/uci_gas/uci_gas.dat,uci_gas,-1,1,16,c,,0,0,SprintzDelta_Huf_16b -18,2024-07-31T22_13_50
