Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,219840,9607.13,msrc,3595.33,rowmajor/uint16/msrc/Shoot_subj=9_idx=480.dat,-1,5,16,0,c,219840,None,0,100.0,2024-08-01T02_46_37
SprintzDelta_16b -80,114888,490.5,msrc,2364.25,rowmajor/uint16/msrc/Shoot_subj=9_idx=480.dat,-1,5,16,0,c,219840,None,0,52.26,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,112083,200.61,msrc,623.21,rowmajor/uint16/msrc/Shoot_subj=9_idx=480.dat,-1,5,16,0,c,219840,None,0,50.98,2024-08-01T02_46_37
SprintzDelta_16b -80,77320,593.81,msrc,2431.61,rowmajor/uint16/msrc/Shoot_subj=21_idx=64.dat,-1,5,16,0,c,143200,None,0,53.99,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,75239,232.54,msrc,601.05,rowmajor/uint16/msrc/Shoot_subj=21_idx=64.dat,-1,5,16,0,c,143200,None,0,52.54,2024-08-01T02_46_37
SprintzDelta_16b -80,88432,537.82,msrc,2436.84,rowmajor/uint16/msrc/Change-weapon_subj=17_idx=453.dat,-1,5,16,0,c,174880,None,0,50.57,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,86704,226.17,msrc,634.64,rowmajor/uint16/msrc/Change-weapon_subj=17_idx=453.dat,-1,5,16,0,c,174880,None,0,49.58,2024-08-01T02_46_37
SprintzDelta_16b -80,79664,596.33,msrc,2508.99,rowmajor/uint16/msrc/Had-enough_subj=1_idx=569.dat,-1,5,16,0,c,166080,None,0,47.97,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,77328,253.24,msrc,639.04,rowmajor/uint16/msrc/Had-enough_subj=1_idx=569.dat,-1,5,16,0,c,166080,None,0,46.56,2024-08-01T02_46_37
SprintzDelta_16b -80,55080,467.03,msrc,2496.94,rowmajor/uint16/msrc/Shoot_subj=24_idx=297.dat,-1,5,16,0,c,114400,None,0,48.15,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,53158,224.13,msrc,632.15,rowmajor/uint16/msrc/Shoot_subj=24_idx=297.dat,-1,5,16,0,c,114400,None,0,46.47,2024-08-01T02_46_37
SprintzDelta_16b -80,116656,525.59,msrc,2444.96,rowmajor/uint16/msrc/Throw_subj=14_idx=347.dat,-1,5,16,0,c,221440,None,0,52.68,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,115433,220.24,msrc,613.05,rowmajor/uint16/msrc/Throw_subj=14_idx=347.dat,-1,5,16,0,c,221440,None,0,52.13,2024-08-01T02_46_37
SprintzDelta_16b -80,88872,551.36,msrc,2490.23,rowmajor/uint16/msrc/Throw_subj=30_idx=120.dat,-1,5,16,0,c,163840,None,0,54.24,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,87684,228.44,msrc,607.95,rowmajor/uint16/msrc/Throw_subj=30_idx=120.dat,-1,5,16,0,c,163840,None,0,53.52,2024-08-01T02_46_37
SprintzDelta_16b -80,76640,438.97,msrc,2095.4,rowmajor/uint16/msrc/Goggles_subj=4_idx=101.dat,-1,5,16,0,c,166880,None,0,45.93,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,73988,191.63,msrc,647.01,rowmajor/uint16/msrc/Goggles_subj=4_idx=101.dat,-1,5,16,0,c,166880,None,0,44.34,2024-08-01T02_46_37
SprintzDelta_16b -80,84256,452.53,msrc,2265.47,rowmajor/uint16/msrc/Had-enough_subj=14_idx=170.dat,-1,5,16,0,c,175200,None,0,48.09,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,81965,210.71,msrc,581.22,rowmajor/uint16/msrc/Had-enough_subj=14_idx=170.dat,-1,5,16,0,c,175200,None,0,46.78,2024-08-01T02_46_37
SprintzDelta_16b -80,54696,548.56,msrc,2488.52,rowmajor/uint16/msrc/Push-right_subj=21_idx=242.dat,-1,5,16,0,c,119200,None,0,45.89,2024-08-01T02_46_37
SprintzDelta_Huf_16b -80,52799,258.18,msrc,666.16,rowmajor/uint16/msrc/Push-right_subj=21_idx=242.dat,-1,5,16,0,c,119200,None,0,44.29,2024-08-01T02_46_37
