Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,75213072,5234.4,uci_gas,2304.94,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,100.0,2024-08-01T12_09_37
Zlib -1,20695330,114.56,uci_gas,329.98,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,27.52,2024-08-01T12_09_37
Zlib -9,16434670,1.08,uci_gas,391.81,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,21.85,2024-08-01T12_09_37
Zstd -1,18198639,391.82,uci_gas,602.81,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,24.2,2024-08-01T12_09_37
Zstd -9,17150432,28.81,uci_gas,657.43,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,22.8,2024-08-01T12_09_37
LZ4,35656833,624.79,uci_gas,1093.47,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,47.41,2024-08-01T12_09_37
LZO -1,31068012,599.77,uci_gas,517.39,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,41.31,2024-08-01T12_09_37
LZO -9,31068012,599.56,uci_gas,504.78,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,41.31,2024-08-01T12_09_37
Huffman,18070130,1050.96,uci_gas,1010.22,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,24.03,2024-08-01T12_09_37
Snappy,30656747,437.73,uci_gas,791.1,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,40.76,2024-08-01T12_09_37
Brotli -1,19143227,261.97,uci_gas,323.71,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,25.45,2024-08-01T12_09_37
Brotli -9,16465460,5.36,uci_gas,544.87,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,1,8,0,f,75213072,Delta,0,21.89,2024-08-01T12_09_37
Zlib -1,13371261,157.64,uci_gas,414.34,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,17.65,2024-08-01T12_09_37
Zlib -9,9745797,1.29,uci_gas,447.42,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,12.87,2024-08-01T12_09_37
Zstd -1,11726484,515.63,uci_gas,652.22,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,15.48,2024-08-01T12_09_37
Zstd -9,10486010,45.41,uci_gas,834.31,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,13.84,2024-08-01T12_09_37
LZ4,23492256,844.14,uci_gas,1166.53,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,31.01,2024-08-01T12_09_37
LZO -1,20511356,854.89,uci_gas,568.85,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,27.08,2024-08-01T12_09_37
LZO -9,20511356,884.71,uci_gas,579.94,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,27.08,2024-08-01T12_09_37
Huffman,13780196,1029.36,uci_gas,987.56,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,18.19,2024-08-01T12_09_37
Snappy,20327370,614.36,uci_gas,847.66,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,26.84,2024-08-01T12_09_37
Brotli -1,12010422,371.55,uci_gas,378.11,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,15.86,2024-08-01T12_09_37
Brotli -9,9857227,7.53,uci_gas,679.46,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,1,8,0,f,75748698,Delta,0,13.01,2024-08-01T12_09_37
Zlib -1,24014091,171.77,uci_gas,432.19,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,15.91,2024-08-01T12_09_37
Zlib -9,16804050,1.34,uci_gas,476.3,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,11.13,2024-08-01T12_09_37
Zstd -1,21094298,552.92,uci_gas,652.36,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,13.97,2024-08-01T12_09_37
Zstd -9,18393295,51.54,uci_gas,871.15,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,12.18,2024-08-01T12_09_37
LZ4,43348937,908.4,uci_gas,1173.3,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,28.72,2024-08-01T12_09_37
LZO -1,37736072,942.02,uci_gas,594.21,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,25.0,2024-08-01T12_09_37
LZO -9,37736072,939.81,uci_gas,592.73,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,25.0,2024-08-01T12_09_37
Huffman,25806271,1006.04,uci_gas,1016.34,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,17.09,2024-08-01T12_09_37
Snappy,36996268,643.58,uci_gas,861.86,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,24.51,2024-08-01T12_09_37
Brotli -1,21213463,421.73,uci_gas,391.06,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,14.05,2024-08-01T12_09_37
Brotli -9,17120791,8.22,uci_gas,719.61,colmajor/uint8/uci_gas/uci_gas.dat,-1,1,8,0,f,150961860,Delta,0,11.34,2024-08-01T12_09_37
Memcpy,150426144,5692.5,uci_gas,3392.93,colmajor/uint16/uci_gas/ethylene_methane.dat,-1,1,16,0,f,150426144,Delta,0,100.0,2024-08-01T12_13_46
Zlib -1,97700985,64.58,uci_gas,244.45,colmajor/uint16/uci_gas/ethylene_methane.dat,-1,1,16,0,f,150426144,Delta,0,64.95,2024-08-01T12_13_46
Zlib -9,97105235,24.76,uci_gas,231.04,colmajor/uint16/uci_gas/ethylene_methane.dat,-1,1,16,0,f,150426144,Delta,0,64.55,2024-08-01T12_13_46
