Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
5234.4,2304.94,75213072,75213072,100.0,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Memcpy,2024-08-01T12_09_37
114.56,329.98,75213072,20695330,27.52,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T12_09_37
1.08,391.81,75213072,16434670,21.85,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T12_09_37
391.82,602.81,75213072,18198639,24.2,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T12_09_37
28.81,657.43,75213072,17150432,22.8,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T12_09_37
624.79,1093.47,75213072,35656833,47.41,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T12_09_37
599.77,517.39,75213072,31068012,41.31,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T12_09_37
599.56,504.78,75213072,31068012,41.31,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T12_09_37
1050.96,1010.22,75213072,18070130,24.03,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T12_09_37
437.73,791.1,75213072,30656747,40.76,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T12_09_37
261.97,323.71,75213072,19143227,25.45,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T12_09_37
5.36,544.87,75213072,16465460,21.89,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T12_09_37
157.64,414.34,75748698,13371261,17.65,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T12_09_37
1.29,447.42,75748698,9745797,12.87,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T12_09_37
515.63,652.22,75748698,11726484,15.48,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T12_09_37
45.41,834.31,75748698,10486010,13.84,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T12_09_37
844.14,1166.53,75748698,23492256,31.01,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T12_09_37
854.89,568.85,75748698,20511356,27.08,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T12_09_37
884.71,579.94,75748698,20511356,27.08,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T12_09_37
1029.36,987.56,75748698,13780196,18.19,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T12_09_37
614.36,847.66,75748698,20327370,26.84,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T12_09_37
371.55,378.11,75748698,12010422,15.86,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T12_09_37
7.53,679.46,75748698,9857227,13.01,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T12_09_37
171.77,432.19,150961860,24014091,15.91,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T12_09_37
1.34,476.3,150961860,16804050,11.13,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T12_09_37
552.92,652.36,150961860,21094298,13.97,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T12_09_37
51.54,871.15,150961860,18393295,12.18,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T12_09_37
908.4,1173.3,150961860,43348937,28.72,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T12_09_37
942.02,594.21,150961860,37736072,25.0,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T12_09_37
939.81,592.73,150961860,37736072,25.0,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T12_09_37
1006.04,1016.34,150961860,25806271,17.09,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T12_09_37
643.58,861.86,150961860,36996268,24.51,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T12_09_37
421.73,391.06,150961860,21213463,14.05,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T12_09_37
8.22,719.61,150961860,17120791,11.34,colmajor/uint8/uci_gas/uci_gas.dat,uci_gas,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T12_09_37
5692.5,3392.93,150426144,150426144,100.0,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Memcpy,2024-08-01T12_13_46
64.58,244.45,150426144,97700985,64.95,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Zlib -1,2024-08-01T12_13_46
24.76,231.04,150426144,97105235,64.55,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Zlib -9,2024-08-01T12_13_46
948.91,922.66,150426144,97693167,64.94,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Zstd -1,2024-08-01T12_13_46
34.04,513.78,150426144,93104157,61.89,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Zstd -9,2024-08-01T12_13_46
4023.41,2327.14,150426144,134271439,89.26,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,LZ4,2024-08-01T12_13_46
4194.65,2220.27,150426144,134309306,89.29,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,LZO -1,2024-08-01T12_13_46
4287.06,2049.96,150426144,134309306,89.29,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,LZO -9,2024-08-01T12_13_46
1043.13,983.45,150426144,99524088,66.16,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Huffman,2024-08-01T12_13_46
4183.96,2755.92,150426144,134496986,89.41,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Snappy,2024-08-01T12_13_46
376.67,215.44,150426144,97734690,64.97,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Brotli -1,2024-08-01T12_13_46
3.57,217.49,150426144,92931740,61.78,colmajor/uint16/uci_gas/ethylene_methane.dat,uci_gas,-1,1,16,f,Delta,0,0,Brotli -9,2024-08-01T12_13_46
76.25,269.25,151497396,88871849,58.66,colmajor/uint16/uci_gas/ethylene_CO.dat,uci_gas,-1,1,16,f,Delta,0,0,Zlib -1,2024-08-01T12_13_46
15.76,258.37,151497396,88398522,58.35,colmajor/uint16/uci_gas/ethylene_CO.dat,uci_gas,-1,1,16,f,Delta,0,0,Zlib -9,2024-08-01T12_13_46
750.05,978.43,151497396,90194130,59.54,colmajor/uint16/uci_gas/ethylene_CO.dat,uci_gas,-1,1,16,f,Delta,0,0,Zstd -1,2024-08-01T12_13_46
28.51,498.41,151497396,82551618,54.49,colmajor/uint16/uci_gas/ethylene_CO.dat,uci_gas,-1,1,16,f,Delta,0,0,Zstd -9,2024-08-01T12_13_46
