Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,300852288,5581.75,uci_gas,4229.09,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,100.0,2024-08-01T12_42_06
Zlib -1,157238102,74.74,uci_gas,280.96,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,52.26,2024-08-01T12_42_06
Zlib -9,151891212,11.83,uci_gas,266.23,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,50.49,2024-08-01T12_42_06
Zstd -1,187397440,600.64,uci_gas,869.87,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,62.29,2024-08-01T12_42_06
Zstd -9,149269621,32.19,uci_gas,547.92,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,49.62,2024-08-01T12_42_06
LZ4,229214195,581.77,uci_gas,1827.92,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,76.19,2024-08-01T12_42_06
LZO -1,217676595,450.01,uci_gas,631.84,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,72.35,2024-08-01T12_42_06
LZO -9,217676595,448.12,uci_gas,631.77,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,72.35,2024-08-01T12_42_06
Huffman,193160645,1058.11,uci_gas,1030.6,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,64.2,2024-08-01T12_42_06
Snappy,220141571,400.6,uci_gas,1061.54,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,73.17,2024-08-01T12_42_06
Brotli -1,175816918,190.66,uci_gas,235.97,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,58.44,2024-08-01T12_42_06
Brotli -9,145454034,5.6,uci_gas,286.3,colmajor/float32/uci_gas/ethylene_methane.dat,-1,5,32,0,f,300852288,Delta,0,48.35,2024-08-01T12_42_06
Zlib -1,160084286,75.9,uci_gas,277.54,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,52.83,2024-08-01T12_42_06
Zlib -9,154528756,10.6,uci_gas,266.13,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,51.0,2024-08-01T12_42_06
Zstd -1,186791490,637.45,uci_gas,941.38,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,61.65,2024-08-01T12_42_06
Zstd -9,150178931,31.18,uci_gas,534.57,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,49.56,2024-08-01T12_42_06
LZ4,235103692,591.45,uci_gas,1716.71,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,77.59,2024-08-01T12_42_06
LZO -1,225474119,452.58,uci_gas,629.26,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,74.42,2024-08-01T12_42_06
LZO -9,225474119,452.42,uci_gas,626.45,colmajor/float32/uci_gas/ethylene_CO.dat,-1,5,32,0,f,302994792,Delta,0,74.42,2024-08-01T12_42_06
