Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
9489.07,2821.19,55995,55995,100.0,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Memcpy,2024-08-01T14_19_36
81.66,126.71,55995,27361,48.86,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
6.43,263.08,55995,25660,45.83,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
296.51,167.66,55995,24269,43.34,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T14_19_36
22.22,337.36,55995,25243,45.08,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T14_19_36
386.24,410.05,55995,42275,75.5,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T14_19_36
201.25,176.6,55995,39440,70.43,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T14_19_36
193.72,178.25,55995,39440,70.43,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T14_19_36
434.3,304.18,55995,23503,41.97,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T14_19_36
133.27,277.22,55995,39815,71.1,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T14_19_36
162.58,88.03,55995,24893,44.46,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T14_19_36
4.63,250.53,55995,25221,45.04,colmajor/uint8/ucr/Trace.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T14_19_36
504.64,712.08,543745,35422,6.51,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
13.72,637.05,543745,25531,4.7,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
1208.12,873.01,543745,30654,5.64,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T14_19_36
217.01,1369.37,543745,25523,4.69,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T14_19_36
2320.02,669.61,543745,47751,8.78,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T14_19_36
881.5,487.78,543745,47730,8.78,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T14_19_36
1764.84,489.56,543745,47730,8.78,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T14_19_36
517.85,542.82,543745,91338,16.8,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T14_19_36
1082.24,544.51,543745,57780,10.63,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T14_19_36
435.32,153.32,543745,31227,5.74,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T14_19_36
24.86,966.7,543745,24452,4.5,colmajor/uint8/ucr/SmallKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T14_19_36
489.45,707.21,543745,37935,6.98,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
19.83,546.04,543745,31293,5.76,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
1380.48,549.13,543745,31489,5.79,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T14_19_36
298.8,1407.44,543745,29673,5.46,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T14_19_36
2360.08,1819.2,543745,45373,8.34,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T14_19_36
2653.11,1249.25,543745,47188,8.68,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T14_19_36
2654.41,1079.32,543745,47188,8.68,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T14_19_36
895.3,954.39,543745,92677,17.04,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T14_19_36
2552.19,1315.31,543745,62842,11.56,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T14_19_36
1236.78,207.22,543745,31884,5.86,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T14_19_36
26.76,902.67,543745,29534,5.43,colmajor/uint8/ucr/LargeKitchenAppliances.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T14_19_36
77.83,233.98,101089,61812,61.15,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
15.63,220.27,101089,58623,57.99,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
349.92,382.35,101089,59188,58.55,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T14_19_36
26.79,244.72,101089,57545,56.93,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T14_19_36
648.99,560.62,101089,93566,92.56,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T14_19_36
411.11,204.16,101089,87386,86.44,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T14_19_36
165.77,213.13,101089,87386,86.44,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T14_19_36
447.49,362.36,101089,59517,58.88,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T14_19_36
137.65,313.86,101089,88444,87.49,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T14_19_36
91.73,88.32,101089,59363,58.72,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T14_19_36
5.11,215.29,101089,57448,56.83,colmajor/uint8/ucr/TwoLeadECG.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T14_19_36
101.52,269.54,238332,93191,39.1,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
2.98,296.67,238332,83031,34.84,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
292.4,506.46,238332,92391,38.77,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T14_19_36
32.17,610.55,238332,84403,35.41,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T14_19_36
492.17,1156.23,238332,118589,49.76,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T14_19_36
477.49,438.06,238332,115754,48.57,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T14_19_36
476.0,440.95,238332,115754,48.57,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T14_19_36
970.88,873.35,238332,100341,42.1,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T14_19_36
393.3,420.94,238332,113004,47.41,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T14_19_36
130.1,144.54,238332,90155,37.83,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T14_19_36
8.51,351.87,238332,82052,34.43,colmajor/uint8/ucr/Earthquakes.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T14_19_36
288.87,518.48,543745,64963,11.95,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
8.34,564.41,543745,48072,8.84,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
680.56,816.52,543745,59692,10.98,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T14_19_36
105.46,1016.22,543745,48723,8.96,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T14_19_36
1178.96,1393.35,543745,95811,17.62,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T14_19_36
1171.81,799.34,543745,91930,16.91,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T14_19_36
1170.54,804.06,543745,91930,16.91,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T14_19_36
927.16,548.56,543745,130336,23.97,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T14_19_36
556.48,607.4,543745,96696,17.78,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T14_19_36
593.18,321.91,543745,58813,10.82,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T14_19_36
16.16,719.26,543745,47057,8.65,colmajor/uint8/ucr/ScreenType.dat,ucr,-1,1,8,f,Delta,0,0,Brotli -9,2024-08-01T14_19_36
92.91,285.92,620395,238463,38.44,colmajor/uint8/ucr/ShapesAll.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T14_19_36
2.7,313.98,620395,206105,33.22,colmajor/uint8/ucr/ShapesAll.dat,ucr,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T14_19_36
