Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
10755.38,2854.84,109920,109920,100.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Memcpy,2024-08-01T20_23_03
111.57,304.7,109920,36263,32.99,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Zlib -1,2024-08-01T20_23_03
2.29,306.63,109920,30768,27.99,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Zlib -9,2024-08-01T20_23_03
391.22,488.66,109920,31025,28.23,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Zstd -1,2024-08-01T20_23_03
34.72,522.79,109920,30789,28.01,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Zstd -9,2024-08-01T20_23_03
813.78,1255.73,109920,51746,47.08,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,LZ4,2024-08-01T20_23_03
696.81,453.3,109920,48867,44.46,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,LZO -1,2024-08-01T20_23_03
683.28,223.39,109920,48867,44.46,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,LZO -9,2024-08-01T20_23_03
457.86,329.63,109920,31756,28.89,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Huffman,2024-08-01T20_23_03
304.81,263.1,109920,49340,44.89,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Snappy,2024-08-01T20_23_03
230.65,103.22,109920,31639,28.78,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,msrc,-1,1,8,f,Delta,0,0,Brotli -1,2024-08-01T20_23_03
