Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,439680,4460.36,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,100.0,2024-08-02T12_22_38
Zlib -1,1941,1011.3,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.44,2024-08-02T12_22_38
Zlib -9,449,283.88,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.1,2024-08-02T12_22_38
Zstd -1,58,11246.45,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.01,2024-08-02T12_22_38
Zstd -9,55,2180.1,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.01,2024-08-02T12_22_38
LZ4,1735,13053.47,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.39,2024-08-02T12_22_38
LZO -1,1955,8075.97,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.44,2024-08-02T12_22_38
LZO -9,1955,8074.49,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.44,2024-08-02T12_22_38
Huffman,36,2689.21,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.01,2024-08-02T12_22_38
Snappy,20627,10766.97,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,4.69,2024-08-02T12_22_38
Brotli -1,94,6508.28,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.02,2024-08-02T12_22_38
Brotli -9,19,265.7,msrc,0.0,colmajor/float32/msrc/Shoot_subj=9_idx=480.dat,-1,10,32,0,f,439680,DoubleDelta,0,0.0,2024-08-02T12_22_38
