Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,1000000,8744.78,custom_data,4790.83,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,100.0,2024-08-03T08_24_30
SprintzDelta -99,1047141,825.22,custom_data,3960.65,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,104.71,2024-08-03T08_24_30
SprintzDelta_Huf -99,1032409,418.5,custom_data,788.44,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,103.24,2024-08-03T08_24_30
SprintzDelta -99,15717374,868.56,custom_data,1962.03,rowmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,c,15007000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,13654680,453.35,custom_data,688.07,rowmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,c,15007000,None,0,90.99,2024-08-03T08_24_30
SprintzDelta -99,1047333,875.77,custom_data,3172.27,rowmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1034679,433.22,custom_data,790.03,rowmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,c,1000000,None,0,103.47,2024-08-03T08_24_30
SprintzDelta -99,940229,835.11,custom_data,1835.22,rowmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,c,1000000,None,0,94.02,2024-08-03T08_24_30
SprintzDelta_Huf -99,917592,433.8,custom_data,828.49,rowmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,c,1000000,None,0,91.76,2024-08-03T08_24_30
SprintzDelta -99,1047333,867.71,custom_data,2840.09,rowmajor/uint8/custom_data/repeats_50.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1034457,406.52,custom_data,803.41,rowmajor/uint8/custom_data/repeats_50.dat,-1,1,8,0,c,1000000,None,0,103.45,2024-08-03T08_24_30
SprintzDelta -99,945621,634.91,custom_data,2297.96,rowmajor/uint8/custom_data/outliers_20.dat,-1,1,8,0,c,1000000,None,0,94.56,2024-08-03T08_24_30
SprintzDelta_Huf -99,917133,448.02,custom_data,812.58,rowmajor/uint8/custom_data/outliers_20.dat,-1,1,8,0,c,1000000,None,0,91.71,2024-08-03T08_24_30
SprintzDelta -99,899389,732.03,custom_data,1982.52,rowmajor/uint8/custom_data/outliers_2.dat,-1,1,8,0,c,1000000,None,0,89.94,2024-08-03T08_24_30
SprintzDelta_Huf -99,883458,454.78,custom_data,839.5,rowmajor/uint8/custom_data/outliers_2.dat,-1,1,8,0,c,1000000,None,0,88.35,2024-08-03T08_24_30
SprintzDelta -99,1047333,849.12,custom_data,4285.24,rowmajor/uint8/custom_data/repeats_30.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1034538,421.87,custom_data,817.04,rowmajor/uint8/custom_data/repeats_30.dat,-1,1,8,0,c,1000000,None,0,103.45,2024-08-03T08_24_30
SprintzDelta -99,913445,835.9,custom_data,3938.6,rowmajor/uint8/custom_data/outliers_10.dat,-1,1,8,0,c,1000000,None,0,91.34,2024-08-03T08_24_30
SprintzDelta_Huf -99,894606,454.11,custom_data,868.51,rowmajor/uint8/custom_data/outliers_10.dat,-1,1,8,0,c,1000000,None,0,89.46,2024-08-03T08_24_30
SprintzDelta -99,1047141,872.22,custom_data,3887.53,rowmajor/uint8/custom_data/delta_1.dat,-1,1,8,0,c,1000000,None,0,104.71,2024-08-03T08_24_30
SprintzDelta_Huf -99,1032409,429.28,custom_data,815.08,rowmajor/uint8/custom_data/delta_1.dat,-1,1,8,0,c,1000000,None,0,103.24,2024-08-03T08_24_30
SprintzDelta -99,1047333,880.8,custom_data,4340.98,rowmajor/uint8/custom_data/repeats_10.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1034592,433.57,custom_data,792.78,rowmajor/uint8/custom_data/repeats_10.dat,-1,1,8,0,c,1000000,None,0,103.46,2024-08-03T08_24_30
SprintzDelta -99,1047333,803.86,custom_data,4355.36,rowmajor/uint8/custom_data/repeats_70.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1034104,398.55,custom_data,800.26,rowmajor/uint8/custom_data/repeats_70.dat,-1,1,8,0,c,1000000,None,0,103.41,2024-08-03T08_24_30
SprintzDelta -99,875373,785.62,custom_data,4185.34,rowmajor/uint8/custom_data/outliers_5.dat,-1,1,8,0,c,1000000,None,0,87.54,2024-08-03T08_24_30
SprintzDelta_Huf -99,857678,425.76,custom_data,917.61,rowmajor/uint8/custom_data/outliers_5.dat,-1,1,8,0,c,1000000,None,0,85.77,2024-08-03T08_24_30
SprintzDelta -99,1047333,789.43,custom_data,4290.04,rowmajor/uint8/custom_data/repeats_0.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1034634,407.06,custom_data,807.4,rowmajor/uint8/custom_data/repeats_0.dat,-1,1,8,0,c,1000000,None,0,103.46,2024-08-03T08_24_30
SprintzDelta -99,1047333,806.08,custom_data,4505.36,rowmajor/uint8/custom_data/repeats_90.dat,-1,1,8,0,c,1000000,None,0,104.73,2024-08-03T08_24_30
SprintzDelta_Huf -99,1032780,403.23,custom_data,800.83,rowmajor/uint8/custom_data/repeats_90.dat,-1,1,8,0,c,1000000,None,0,103.28,2024-08-03T08_24_30
SprintzDelta -99,1047141,796.7,custom_data,4290.04,rowmajor/uint8/custom_data/delta_10.dat,-1,1,8,0,c,1000000,None,0,104.71,2024-08-03T08_24_30
SprintzDelta_Huf -99,1032408,404.66,custom_data,812.49,rowmajor/uint8/custom_data/delta_10.dat,-1,1,8,0,c,1000000,None,0,103.24,2024-08-03T08_24_30
Memcpy,1000000,16446.02,custom_data,8511.94,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
Zlib -1,675297,62.32,custom_data,211.82,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,67.53,2024-08-03T08_27_35
Zlib -9,678374,23.01,custom_data,210.66,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,67.84,2024-08-03T08_27_35
Zstd -1,998034,1699.59,custom_data,912.73,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,99.8,2024-08-03T08_27_35
Zstd -9,664092,44.22,custom_data,433.79,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,66.41,2024-08-03T08_27_35
LZ4,976010,1275.03,custom_data,1614.22,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,97.6,2024-08-03T08_27_35
LZO -1,980916,1811.31,custom_data,1092.99,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,98.09,2024-08-03T08_27_35
LZO -9,980916,1818.9,custom_data,931.6,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,98.09,2024-08-03T08_27_35
Huffman,1000064,3372.14,custom_data,3847.8,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,100.01,2024-08-03T08_27_35
Snappy,967726,1155.78,custom_data,786.02,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,96.77,2024-08-03T08_27_35
Brotli -1,936276,235.15,custom_data,196.47,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,93.63,2024-08-03T08_27_35
Brotli -9,591337,8.87,custom_data,152.77,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,None,0,59.13,2024-08-03T08_27_35
Zlib -1,2617953,192.94,custom_data,441.08,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,17.44,2024-08-03T08_27_35
Zlib -9,2061718,3.23,custom_data,423.37,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,13.74,2024-08-03T08_27_35
Zstd -1,2471209,706.83,custom_data,982.49,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,16.47,2024-08-03T08_27_35
Zstd -9,2097424,94.25,custom_data,711.06,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,13.98,2024-08-03T08_27_35
LZ4,3757991,1094.0,custom_data,1983.47,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,25.04,2024-08-03T08_27_35
LZO -1,3550781,1222.76,custom_data,605.43,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,23.66,2024-08-03T08_27_35
LZO -9,3550781,1231.41,custom_data,590.93,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,23.66,2024-08-03T08_27_35
Huffman,5398276,1021.6,custom_data,973.59,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,35.97,2024-08-03T08_27_35
Snappy,3620335,922.75,custom_data,851.5,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,24.12,2024-08-03T08_27_35
Brotli -1,2676422,463.42,custom_data,290.54,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,17.83,2024-08-03T08_27_35
Brotli -9,1793921,17.64,custom_data,408.18,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,15007000,None,0,11.95,2024-08-03T08_27_35
Zlib -1,1000000,53.62,custom_data,1102.81,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
Zlib -9,1000000,54.9,custom_data,1622.25,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
Zstd -1,1000034,2705.88,custom_data,2000.2,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
Zstd -9,1000033,573.22,custom_data,1516.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
LZ4,1003923,19816.11,custom_data,1466.38,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.39,2024-08-03T08_27_35
LZO -1,1003926,8558.79,custom_data,1316.16,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.39,2024-08-03T08_27_35
LZO -9,1003926,15427.1,custom_data,1106.81,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.39,2024-08-03T08_27_35
Huffman,1000064,3360.89,custom_data,7988.82,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.01,2024-08-03T08_27_35
Snappy,1000051,24278.92,custom_data,1260.65,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.01,2024-08-03T08_27_35
Brotli -1,1000005,6257.0,custom_data,442.73,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
Brotli -9,1000005,40.15,custom_data,1887.23,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,None,0,100.0,2024-08-03T08_27_35
Zlib -1,365237,89.94,custom_data,285.67,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,36.52,2024-08-03T08_27_35
Zlib -9,355002,6.09,custom_data,342.71,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,35.5,2024-08-03T08_27_35
Zstd -1,466499,289.85,custom_data,666.82,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,46.65,2024-08-03T08_27_35
Zstd -9,368983,29.92,custom_data,562.6,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,36.9,2024-08-03T08_27_35
LZ4,608662,421.33,custom_data,1354.35,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,60.87,2024-08-03T08_27_35
LZO -1,523282,487.62,custom_data,637.94,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,52.33,2024-08-03T08_27_35
LZO -9,523282,487.7,custom_data,628.99,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,52.33,2024-08-03T08_27_35
Huffman,642790,1136.76,custom_data,1221.08,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,None,0,64.28,2024-08-03T08_27_35
