Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
9891.1,4391.92,1000000,1000000,100.0,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,Memcpy,2024-08-04T20_44_40
841.92,4489.72,1000000,431523,43.15,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
557.05,1393.79,1000000,434462,43.45,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
783.27,3703.77,19009000,13162669,69.24,rowmajor/uint8/custom_data/custom_data.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
500.81,1080.71,19009000,11704794,61.58,rowmajor/uint8/custom_data/custom_data.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
869.13,4649.74,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
430.98,800.77,1000000,1033708,103.37,rowmajor/uint8/custom_data/outliers_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
798.11,4561.94,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
427.11,811.17,1000000,1033724,103.37,rowmajor/uint8/custom_data/outliers_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
780.62,3779.72,1000000,1040995,104.1,rowmajor/uint8/custom_data/repeats_50.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
425.54,771.3,1000000,748198,74.82,rowmajor/uint8/custom_data/repeats_50.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
808.52,4458.02,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_20.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
428.96,559.22,1000000,1023524,102.35,rowmajor/uint8/custom_data/outliers_20.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
843.97,4340.73,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
439.12,791.22,1000000,1033724,103.37,rowmajor/uint8/custom_data/outliers_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
790.49,4491.94,1000000,1046827,104.68,rowmajor/uint8/custom_data/repeats_30.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
432.18,748.45,1000000,866579,86.66,rowmajor/uint8/custom_data/repeats_30.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
863.83,4588.59,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_10.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
356.69,807.3,1000000,1032615,103.26,rowmajor/uint8/custom_data/outliers_10.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
860.67,4659.48,1000000,431507,43.15,rowmajor/uint8/custom_data/delta_10000.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
566.73,1438.69,1000000,434479,43.45,rowmajor/uint8/custom_data/delta_10000.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
854.27,4516.53,1000000,431531,43.15,rowmajor/uint8/custom_data/delta_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
577.02,1443.21,1000000,434464,43.45,rowmajor/uint8/custom_data/delta_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
840.16,4646.24,1000000,431507,43.15,rowmajor/uint8/custom_data/delta_2000.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
578.53,1444.15,1000000,434479,43.45,rowmajor/uint8/custom_data/delta_2000.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
883.2,4438.19,1000000,1046883,104.69,rowmajor/uint8/custom_data/repeats_10.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
431.41,819.21,1000000,995499,99.55,rowmajor/uint8/custom_data/repeats_10.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
1061.26,12136.51,1000000,1686,0.17,rowmajor/uint8/custom_data/delta_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
942.21,8852.46,1000000,3515,0.35,rowmajor/uint8/custom_data/delta_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
816.88,3601.72,1000000,974547,97.45,rowmajor/uint8/custom_data/repeats_70.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
437.63,856.63,1000000,555943,55.59,rowmajor/uint8/custom_data/repeats_70.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
871.89,4384.58,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_5.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
438.84,817.07,1000000,1033681,103.37,rowmajor/uint8/custom_data/outliers_5.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
857.86,4759.91,1000000,431507,43.15,rowmajor/uint8/custom_data/delta_5.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
571.78,1468.58,1000000,434477,43.45,rowmajor/uint8/custom_data/delta_5.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
854.57,4654.69,1000000,431507,43.15,rowmajor/uint8/custom_data/delta_100.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
577.93,1444.23,1000000,434479,43.45,rowmajor/uint8/custom_data/delta_100.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
879.98,4602.97,1000000,1046883,104.69,rowmajor/uint8/custom_data/repeats_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
437.77,807.65,1000000,1033707,103.37,rowmajor/uint8/custom_data/repeats_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
851.6,4474.61,1000000,614355,61.44,rowmajor/uint8/custom_data/repeats_90.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T20_44_40
503.63,1257.66,1000000,281408,28.14,rowmajor/uint8/custom_data/repeats_90.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T20_44_40
3412.45,5899.67,1000000,1000000,100.0,colmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,f,,0,0,Memcpy,2024-08-04T20_48_24
61.98,222.25,1000000,675369,67.54,colmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,f,,0,0,Zlib -1,2024-08-04T20_48_24
22.9,218.38,1000000,678385,67.84,colmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,f,,0,0,Zlib -9,2024-08-04T20_48_24
1702.15,3959.16,1000000,998044,99.8,colmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,f,,0,0,Zstd -1,2024-08-04T20_48_24
44.48,597.77,1000000,664153,66.42,colmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,f,,0,0,Zstd -9,2024-08-04T20_48_24
