Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,1000000,448.61,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zlib -1,495529,82.6,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,49.55,2024-08-04T22_01_22
Zlib -9,468918,8.8,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,46.89,2024-08-04T22_01_22
Zstd -1,443145,302.01,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,44.31,2024-08-04T22_01_22
Zstd -9,454622,19.1,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,45.46,2024-08-04T22_01_22
LZ4,847184,302.07,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,84.72,2024-08-04T22_01_22
LZO -1,757403,240.46,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,75.74,2024-08-04T22_01_22
LZO -9,757403,239.8,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,75.74,2024-08-04T22_01_22
Huffman,442527,453.06,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,44.25,2024-08-04T22_01_22
Snappy,778831,212.28,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,77.88,2024-08-04T22_01_22
Brotli -1,470507,137.61,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,47.05,2024-08-04T22_01_22
Brotli -9,460314,6.76,custom_data,0.0,colmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,f,1000000,DoubleDelta,0,46.03,2024-08-04T22_01_22
Zlib -1,8547578,89.82,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,44.97,2024-08-04T22_01_22
Zlib -9,7371548,8.76,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,38.78,2024-08-04T22_01_22
Zstd -1,5457675,342.78,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,28.71,2024-08-04T22_01_22
Zstd -9,4989361,77.79,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,26.25,2024-08-04T22_01_22
LZ4,9131685,385.37,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,48.04,2024-08-04T22_01_22
LZO -1,12725395,475.31,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,66.94,2024-08-04T22_01_22
LZO -9,12725395,474.71,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,66.94,2024-08-04T22_01_22
Huffman,14011231,418.91,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,73.71,2024-08-04T22_01_22
Snappy,12450750,453.42,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,65.5,2024-08-04T22_01_22
Brotli -1,5986256,251.7,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,31.49,2024-08-04T22_01_22
Brotli -9,4490921,13.31,custom_data,0.0,colmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,f,19009000,DoubleDelta,0,23.63,2024-08-04T22_01_22
Zlib -1,1000000,49.92,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zlib -9,1000000,51.2,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zstd -1,1000034,579.43,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zstd -9,1000033,324.13,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
LZ4,1003923,704.28,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.39,2024-08-04T22_01_22
LZO -1,1003926,700.85,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.39,2024-08-04T22_01_22
LZO -9,1003926,700.37,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.39,2024-08-04T22_01_22
Huffman,1000064,608.47,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.01,2024-08-04T22_01_22
Snappy,1000051,713.24,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.01,2024-08-04T22_01_22
Brotli -1,1000005,650.51,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Brotli -9,1000005,50.92,custom_data,0.0,colmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zlib -1,1000000,50.05,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zlib -9,1000000,51.27,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zstd -1,1000034,579.73,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Zstd -9,1000033,322.87,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
LZ4,1003923,707.88,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.39,2024-08-04T22_01_22
LZO -1,1003926,709.57,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.39,2024-08-04T22_01_22
LZO -9,1003926,708.28,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.39,2024-08-04T22_01_22
Huffman,1000064,607.08,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.01,2024-08-04T22_01_22
Snappy,1000051,695.28,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.01,2024-08-04T22_01_22
Brotli -1,1000005,635.4,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
Brotli -9,1000005,50.95,custom_data,0.0,colmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,f,1000000,DoubleDelta,0,100.0,2024-08-04T22_01_22
