Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
12971.18,3632.84,1000000,1000000,100.0,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,Memcpy,2024-08-02T13_48_05
848.04,4218.59,1000000,1047141,104.71,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -99,2024-08-02T13_48_05
424.8,801.81,1000000,1032409,103.24,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -99,2024-08-02T13_48_05
866.48,3337.0,15007000,15717374,104.73,rowmajor/uint8/custom_data/custom_data.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -99,2024-08-02T13_48_05
391.83,712.01,15007000,13654680,90.99,rowmajor/uint8/custom_data/custom_data.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -99,2024-08-02T13_48_05
868.47,3999.22,1000000,1047333,104.73,rowmajor/uint8/custom_data/outliers_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -99,2024-08-02T13_48_05
441.55,777.49,1000000,1034679,103.47,rowmajor/uint8/custom_data/outliers_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -99,2024-08-02T13_48_05
840.98,3761.24,1000000,940229,94.02,rowmajor/uint8/custom_data/outliers_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -99,2024-08-02T13_48_05
460.84,842.17,1000000,917592,91.76,rowmajor/uint8/custom_data/outliers_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -99,2024-08-02T13_48_05
878.4,4415.87,1000000,1047333,104.73,rowmajor/uint8/custom_data/repeats_50.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -99,2024-08-02T13_48_05
438.31,812.45,1000000,1034457,103.45,rowmajor/uint8/custom_data/repeats_50.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -99,2024-08-02T13_48_05
848.21,3902.73,1000000,945621,94.56,rowmajor/uint8/custom_data/outliers_20.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -99,2024-08-02T13_48_05
457.85,854.18,1000000,917133,91.71,rowmajor/uint8/custom_data/outliers_20.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -99,2024-08-02T13_48_05
