Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,4000000,4233.54,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,100.0,2024-08-02T14_51_04
Zlib -1,17465,1418.01,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Zlib -9,3898,289.7,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.1,2024-08-02T14_51_04
Zstd -1,383,11732.61,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Zstd -9,353,2375.73,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
LZ4,15697,14082.82,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.39,2024-08-02T14_51_04
LZO -1,17760,9800.87,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
LZO -9,17760,9793.89,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Huffman,279,3385.21,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Snappy,187628,13173.41,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,4.69,2024-08-02T14_51_04
Brotli -1,739,5499.14,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.02,2024-08-02T14_51_04
Brotli -9,65,26.27,custom_data,0.0,colmajor/float32/custom_data/delta_2.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.0,2024-08-02T14_51_04
Zlib -1,261962,1382.03,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Zlib -9,58365,284.55,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.1,2024-08-02T14_51_04
Zstd -1,5507,8437.75,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Zstd -9,5050,2153.38,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.01,2024-08-02T14_51_04
LZ4,235414,8951.51,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.39,2024-08-02T14_51_04
LZO -1,266259,7251.34,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.44,2024-08-02T14_51_04
LZO -9,266259,7299.19,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Huffman,4158,3094.44,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Snappy,2815650,8302.88,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,4.69,2024-08-02T14_51_04
Brotli -1,10900,7192.56,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.02,2024-08-02T14_51_04
Brotli -9,775,26.36,custom_data,0.0,colmajor/float32/custom_data/custom_data.dat,-1,1,32,0,f,60028000,DoubleDelta,0,0.0,2024-08-02T14_51_04
Zlib -1,17465,1470.26,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Zlib -9,3898,293.18,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.1,2024-08-02T14_51_04
Zstd -1,383,11445.71,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Zstd -9,353,2380.91,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
LZ4,15697,14290.97,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.39,2024-08-02T14_51_04
LZO -1,17760,4225.16,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
LZO -9,17760,5877.6,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Huffman,279,3388.66,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Snappy,187628,14111.14,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,4.69,2024-08-02T14_51_04
Brotli -1,739,5213.06,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.02,2024-08-02T14_51_04
Brotli -9,65,26.63,custom_data,0.0,colmajor/float32/custom_data/outliers_0.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.0,2024-08-02T14_51_04
Zlib -1,17465,1474.55,custom_data,0.0,colmajor/float32/custom_data/outliers_1.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.44,2024-08-02T14_51_04
Zlib -9,3898,287.05,custom_data,0.0,colmajor/float32/custom_data/outliers_1.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.1,2024-08-02T14_51_04
Zstd -1,383,12439.94,custom_data,0.0,colmajor/float32/custom_data/outliers_1.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
Zstd -9,353,2378.46,custom_data,0.0,colmajor/float32/custom_data/outliers_1.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.01,2024-08-02T14_51_04
LZ4,15697,14238.98,custom_data,0.0,colmajor/float32/custom_data/outliers_1.dat,-1,1,32,0,f,4000000,DoubleDelta,0,0.39,2024-08-02T14_51_04
