Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,1000000,11551.08,custom_data,6343.69,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,100.0,2024-08-04T09_54_37
SprintzDelta -100,431523,841.73,custom_data,4422.9,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T09_54_37
SprintzDelta_Huf -100,434462,566.55,custom_data,1437.24,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T09_54_37
SprintzDelta -100,7401921,847.75,custom_data,3274.38,rowmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,c,19009000,None,0,38.94,2024-08-04T09_54_37
SprintzDelta_Huf -100,7271144,607.77,custom_data,1447.94,rowmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,c,19009000,None,0,38.25,2024-08-04T09_54_37
SprintzDelta -100,1046883,827.23,custom_data,3634.54,rowmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T09_54_37
SprintzDelta_Huf -100,1033708,430.94,custom_data,788.61,rowmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,c,1000000,None,0,103.37,2024-08-04T09_54_37
SprintzDelta -100,1046883,831.98,custom_data,4178.33,rowmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T09_54_37
SprintzDelta_Huf -100,1033724,436.88,custom_data,799.91,rowmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,c,1000000,None,0,103.37,2024-08-04T09_54_37
SprintzDelta -100,4769,1028.61,custom_data,8700.42,rowmajor/uint8/custom_data/repeats_50.dat,-1,1,8,0,c,1000000,None,0,0.48,2024-08-04T09_54_37
SprintzDelta_Huf -100,9666,876.99,custom_data,6150.59,rowmajor/uint8/custom_data/repeats_50.dat,-1,1,8,0,c,1000000,None,0,0.97,2024-08-04T09_54_37
SprintzDelta -100,1046883,844.15,custom_data,3984.02,rowmajor/uint8/custom_data/outliers_20.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T09_54_37
SprintzDelta_Huf -100,1023524,440.27,custom_data,797.08,rowmajor/uint8/custom_data/outliers_20.dat,-1,1,8,0,c,1000000,None,0,102.35,2024-08-04T09_54_37
SprintzDelta -100,1046883,856.81,custom_data,4047.17,rowmajor/uint8/custom_data/outliers_2.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T09_54_37
SprintzDelta_Huf -100,1033724,444.16,custom_data,807.43,rowmajor/uint8/custom_data/outliers_2.dat,-1,1,8,0,c,1000000,None,0,103.37,2024-08-04T09_54_37
SprintzDelta -100,5481,1004.43,custom_data,8259.14,rowmajor/uint8/custom_data/repeats_30.dat,-1,1,8,0,c,1000000,None,0,0.55,2024-08-04T09_54_37
SprintzDelta_Huf -100,11409,867.83,custom_data,6005.54,rowmajor/uint8/custom_data/repeats_30.dat,-1,1,8,0,c,1000000,None,0,1.14,2024-08-04T09_54_37
SprintzDelta -100,1046883,868.95,custom_data,4151.22,rowmajor/uint8/custom_data/outliers_10.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T09_54_37
SprintzDelta_Huf -100,1032615,438.8,custom_data,785.94,rowmajor/uint8/custom_data/outliers_10.dat,-1,1,8,0,c,1000000,None,0,103.26,2024-08-04T09_54_37
SprintzDelta -100,431507,831.09,custom_data,4656.47,rowmajor/uint8/custom_data/delta_10000.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T09_54_37
SprintzDelta_Huf -100,434479,583.2,custom_data,1469.81,rowmajor/uint8/custom_data/delta_10000.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T09_54_37
SprintzDelta -100,431531,867.2,custom_data,4689.51,rowmajor/uint8/custom_data/delta_1.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T09_54_37
SprintzDelta_Huf -100,434464,569.74,custom_data,1466.93,rowmajor/uint8/custom_data/delta_1.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T09_54_37
SprintzDelta -100,431507,861.57,custom_data,4620.05,rowmajor/uint8/custom_data/delta_2000.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T09_54_37
SprintzDelta_Huf -100,434479,580.51,custom_data,1477.99,rowmajor/uint8/custom_data/delta_2000.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T09_54_37
SprintzDelta -100,6375,970.43,custom_data,10301.53,rowmajor/uint8/custom_data/repeats_10.dat,-1,1,8,0,c,1000000,None,0,0.64,2024-08-04T09_54_37
SprintzDelta_Huf -100,12724,862.31,custom_data,5829.44,rowmajor/uint8/custom_data/repeats_10.dat,-1,1,8,0,c,1000000,None,0,1.27,2024-08-04T09_54_37
SprintzDelta -100,1686,1069.49,custom_data,12025.59,rowmajor/uint8/custom_data/delta_0.dat,-1,1,8,0,c,1000000,None,0,0.17,2024-08-04T09_54_37
SprintzDelta_Huf -100,3515,962.0,custom_data,8975.85,rowmajor/uint8/custom_data/delta_0.dat,-1,1,8,0,c,1000000,None,0,0.35,2024-08-04T09_54_37
SprintzDelta -100,4309,1046.71,custom_data,10862.13,rowmajor/uint8/custom_data/repeats_70.dat,-1,1,8,0,c,1000000,None,0,0.43,2024-08-04T09_54_37
SprintzDelta_Huf -100,8446,897.14,custom_data,6387.16,rowmajor/uint8/custom_data/repeats_70.dat,-1,1,8,0,c,1000000,None,0,0.84,2024-08-04T09_54_37
SprintzDelta -100,1046883,774.76,custom_data,3176.89,rowmajor/uint8/custom_data/outliers_5.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T09_54_37
SprintzDelta_Huf -100,1033681,384.17,custom_data,810.07,rowmajor/uint8/custom_data/outliers_5.dat,-1,1,8,0,c,1000000,None,0,103.37,2024-08-04T09_54_37
SprintzDelta -100,431507,843.81,custom_data,4278.07,rowmajor/uint8/custom_data/delta_5.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T09_54_37
SprintzDelta_Huf -100,434477,581.8,custom_data,1423.34,rowmajor/uint8/custom_data/delta_5.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T09_54_37
SprintzDelta -100,431507,861.63,custom_data,4656.69,rowmajor/uint8/custom_data/delta_100.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T09_54_37
SprintzDelta_Huf -100,434479,572.06,custom_data,1470.11,rowmajor/uint8/custom_data/delta_100.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T09_54_37
SprintzDelta -100,6650,1017.37,custom_data,10394.9,rowmajor/uint8/custom_data/repeats_0.dat,-1,1,8,0,c,1000000,None,0,0.67,2024-08-04T09_54_37
SprintzDelta_Huf -100,13691,878.25,custom_data,5829.44,rowmajor/uint8/custom_data/repeats_0.dat,-1,1,8,0,c,1000000,None,0,1.37,2024-08-04T09_54_37
SprintzDelta -100,2308,1070.72,custom_data,10998.56,rowmajor/uint8/custom_data/repeats_90.dat,-1,1,8,0,c,1000000,None,0,0.23,2024-08-04T09_54_37
SprintzDelta_Huf -100,4251,900.93,custom_data,7101.01,rowmajor/uint8/custom_data/repeats_90.dat,-1,1,8,0,c,1000000,None,0,0.43,2024-08-04T09_54_37
