Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,75213072,16274.64,uci_gas,5441.71,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,100.0,2024-07-31T22_44_37
Zlib -1,21951721,104.2,uci_gas,333.03,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,29.19,2024-07-31T22_44_37
Zlib -9,20758049,3.98,uci_gas,353.71,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,27.6,2024-07-31T22_44_37
Zstd -1,28446132,384.02,uci_gas,685.11,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,37.82,2024-07-31T22_44_37
Zstd -9,21351016,35.21,uci_gas,721.17,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,28.39,2024-07-31T22_44_37
LZ4,38310592,569.61,uci_gas,1488.39,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,50.94,2024-07-31T22_44_37
LZO -1,34351148,568.25,uci_gas,548.03,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,45.67,2024-07-31T22_44_37
LZO -9,34351148,566.91,uci_gas,549.23,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,45.67,2024-07-31T22_44_37
Huffman,50781065,1054.69,uci_gas,959.2,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,67.52,2024-07-31T22_44_37
Snappy,34598245,448.8,uci_gas,883.52,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,46.0,2024-07-31T22_44_37
Brotli -1,27091923,231.92,uci_gas,295.57,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,36.02,2024-07-31T22_44_37
Brotli -9,19948807,5.79,uci_gas,426.83,colmajor/uint8/uci_gas/ethylene_methane.dat,-1,10,8,0,f,75213072,None,0,26.52,2024-07-31T22_44_37
Zlib -1,13947415,148.72,uci_gas,432.76,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,18.41,2024-07-31T22_44_37
Zlib -9,12456148,4.87,uci_gas,426.59,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,16.44,2024-07-31T22_44_37
Zstd -1,15863400,474.99,uci_gas,780.96,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,20.94,2024-07-31T22_44_37
Zstd -9,12666110,47.2,uci_gas,990.8,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,16.72,2024-07-31T22_44_37
LZ4,24616731,759.02,uci_gas,1659.6,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,32.5,2024-07-31T22_44_37
LZO -1,22155970,793.18,uci_gas,623.79,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,29.25,2024-07-31T22_44_37
LZO -9,22155970,792.72,uci_gas,624.38,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,29.25,2024-07-31T22_44_37
Huffman,41752412,1059.08,uci_gas,1066.47,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,55.12,2024-07-31T22_44_37
Snappy,22334958,606.35,uci_gas,986.66,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,29.49,2024-07-31T22_44_37
Brotli -1,15632573,322.31,uci_gas,350.59,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,20.64,2024-07-31T22_44_37
Brotli -9,11780088,8.14,uci_gas,598.42,colmajor/uint8/uci_gas/ethylene_CO.dat,-1,10,8,0,f,75748698,None,0,15.55,2024-07-31T22_44_37
Zlib -1,24756230,164.95,uci_gas,463.9,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,16.4,2024-07-31T22_44_37
Zlib -9,21206689,4.24,uci_gas,453.87,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,14.05,2024-07-31T22_44_37
Zstd -1,26193839,501.12,uci_gas,759.56,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,17.35,2024-07-31T22_44_37
Zstd -9,21687439,51.39,uci_gas,1068.5,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,14.37,2024-07-31T22_44_37
LZ4,44411728,852.32,uci_gas,1618.35,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,29.42,2024-07-31T22_44_37
LZO -1,40238675,882.65,uci_gas,636.67,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,26.65,2024-07-31T22_44_37
LZO -9,40238675,880.21,uci_gas,639.3,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,26.65,2024-07-31T22_44_37
Huffman,80631273,1034.91,uci_gas,1086.85,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,53.41,2024-07-31T22_44_37
Snappy,39783580,648.23,uci_gas,984.79,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,26.35,2024-07-31T22_44_37
Brotli -1,26778597,352.26,uci_gas,363.69,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,17.74,2024-07-31T22_44_37
Brotli -9,20160133,8.69,uci_gas,664.6,colmajor/uint8/uci_gas/uci_gas.dat,-1,10,8,0,f,150961860,None,0,13.35,2024-07-31T22_44_37
