Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,223980,6608.05,ucr,2880.18,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,100.0,2024-08-01T15_41_01
Zlib -1,171616,51.17,ucr,225.46,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,76.62,2024-08-01T15_41_01
Zlib -9,170610,25.31,ucr,228.18,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,76.17,2024-08-01T15_41_01
Zstd -1,181486,930.41,ucr,937.51,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,81.03,2024-08-01T15_41_01
Zstd -9,160180,49.65,ucr,491.12,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,71.52,2024-08-01T15_41_01
LZ4,223830,2355.73,ucr,2558.16,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,99.93,2024-08-01T15_41_01
LZO -1,224854,4835.81,ucr,2617.17,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,100.39,2024-08-01T15_41_01
LZO -9,224854,3888.0,ucr,2635.99,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,100.39,2024-08-01T15_41_01
Huffman,181496,410.73,ucr,374.41,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,81.03,2024-08-01T15_41_01
Snappy,223995,9222.6,ucr,4923.18,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,100.01,2024-08-01T15_41_01
Brotli -1,181505,294.49,ucr,107.38,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,81.04,2024-08-01T15_41_01
Brotli -9,165064,8.12,ucr,176.59,colmajor/float32/ucr/Trace.dat,-1,5,32,0,f,223980,Delta,0,73.7,2024-08-01T15_41_01
Zlib -1,100886,705.7,ucr,1094.29,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,4.64,2024-08-01T15_41_01
Zlib -9,76436,31.78,ucr,610.94,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,3.51,2024-08-01T15_41_01
Zstd -1,83028,1598.68,ucr,2217.32,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,3.82,2024-08-01T15_41_01
Zstd -9,76199,384.38,ucr,2689.64,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,3.5,2024-08-01T15_41_01
LZ4,126507,2950.14,ucr,3281.62,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,5.82,2024-08-01T15_41_01
LZO -1,129738,3237.92,ucr,2701.49,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,5.97,2024-08-01T15_41_01
LZO -9,129738,3241.24,ucr,2651.28,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,5.97,2024-08-01T15_41_01
Huffman,469867,969.48,ucr,1181.75,colmajor/float32/ucr/SmallKitchenAppliances.dat,-1,5,32,0,f,2174980,Delta,0,21.6,2024-08-01T15_41_01
