Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,109920,591.79,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,100.0,2024-08-02T10_29_36
Zlib -1,38552,95.68,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,35.07,2024-08-02T10_29_36
Zlib -9,33441,3.53,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,30.42,2024-08-02T10_29_36
Zstd -1,33819,247.33,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,30.77,2024-08-02T10_29_36
Zstd -9,33282,33.11,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,30.28,2024-08-02T10_29_36
LZ4,53772,385.96,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,48.92,2024-08-02T10_29_36
LZO -1,51291,363.78,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,46.66,2024-08-02T10_29_36
LZO -9,51291,363.87,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,46.66,2024-08-02T10_29_36
Huffman,37438,439.89,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,34.06,2024-08-02T10_29_36
Snappy,51301,330.72,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,46.67,2024-08-02T10_29_36
Brotli -1,34038,172.93,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,30.97,2024-08-02T10_29_36
Brotli -9,32513,4.86,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=9_idx=480.dat,-1,10,8,0,f,109920,DoubleDelta,0,29.58,2024-08-02T10_29_36
Zlib -1,26572,100.1,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,37.11,2024-08-02T10_29_36
Zlib -9,23568,4.76,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,32.92,2024-08-02T10_29_36
Zstd -1,23361,267.68,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,32.63,2024-08-02T10_29_36
Zstd -9,23069,38.18,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,32.22,2024-08-02T10_29_36
LZ4,36724,434.57,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,51.29,2024-08-02T10_29_36
LZO -1,35007,319.95,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,48.89,2024-08-02T10_29_36
LZO -9,35007,318.9,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,48.89,2024-08-02T10_29_36
Huffman,26469,347.12,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,36.97,2024-08-02T10_29_36
Snappy,35188,164.93,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,49.15,2024-08-02T10_29_36
Brotli -1,23495,214.04,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,32.81,2024-08-02T10_29_36
Brotli -9,22848,4.06,msrc,0.0,colmajor/uint8/msrc/Shoot_subj=21_idx=64.dat,-1,10,8,0,f,71600,DoubleDelta,0,31.91,2024-08-02T10_29_36
Zlib -1,28147,105.43,msrc,0.0,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,-1,10,8,0,f,87440,DoubleDelta,0,32.19,2024-08-02T10_29_36
Zlib -9,24170,3.15,msrc,0.0,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,-1,10,8,0,f,87440,DoubleDelta,0,27.64,2024-08-02T10_29_36
Zstd -1,24595,261.62,msrc,0.0,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,-1,10,8,0,f,87440,DoubleDelta,0,28.13,2024-08-02T10_29_36
Zstd -9,24012,33.18,msrc,0.0,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,-1,10,8,0,f,87440,DoubleDelta,0,27.46,2024-08-02T10_29_36
LZ4,39518,405.27,msrc,0.0,colmajor/uint8/msrc/Change-weapon_subj=17_idx=453.dat,-1,10,8,0,f,87440,DoubleDelta,0,45.19,2024-08-02T10_29_36
