Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,1000000,9891.1,custom_data,4391.92,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,100.0,2024-08-04T20_44_40
SprintzDelta -100,431523,841.92,custom_data,4489.72,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,43.15,2024-08-04T20_44_40
SprintzDelta_Huf -100,434462,557.05,custom_data,1393.79,rowmajor/uint8/custom_data/delta_2.dat,-1,1,8,0,c,1000000,None,0,43.45,2024-08-04T20_44_40
SprintzDelta -100,13162669,783.27,custom_data,3703.77,rowmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,c,19009000,None,0,69.24,2024-08-04T20_44_40
SprintzDelta_Huf -100,11704794,500.81,custom_data,1080.71,rowmajor/uint8/custom_data/custom_data.dat,-1,1,8,0,c,19009000,None,0,61.58,2024-08-04T20_44_40
SprintzDelta -100,1046883,869.13,custom_data,4649.74,rowmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T20_44_40
SprintzDelta_Huf -100,1033708,430.98,custom_data,800.77,rowmajor/uint8/custom_data/outliers_0.dat,-1,1,8,0,c,1000000,None,0,103.37,2024-08-04T20_44_40
SprintzDelta -100,1046883,798.11,custom_data,4561.94,rowmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,c,1000000,None,0,104.69,2024-08-04T20_44_40
SprintzDelta_Huf -100,1033724,427.11,custom_data,811.17,rowmajor/uint8/custom_data/outliers_1.dat,-1,1,8,0,c,1000000,None,0,103.37,2024-08-04T20_44_40
SprintzDelta -100,1040995,780.62,custom_data,3779.72,rowmajor/uint8/custom_data/repeats_50.dat,-1,1,8,0,c,1000000,None,0,104.1,2024-08-04T20_44_40
