Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,1000000,9862.81,custom_data,3780.73,rowmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,c,1000000,None,0,100.0,2024-08-04T20_56_15
SprintzDelta -100,431523,323.26,custom_data,1963.59,rowmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,c,1000000,None,0,43.15,2024-08-04T20_56_15
SprintzDelta_Huf -100,434462,227.84,custom_data,662.47,rowmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,c,1000000,None,0,43.45,2024-08-04T20_56_15
SprintzDelta -100,13162669,798.06,custom_data,4013.45,rowmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,c,19009000,None,0,69.24,2024-08-04T20_56_15
SprintzDelta_Huf -100,11704794,505.17,custom_data,1095.56,rowmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,c,19009000,None,0,61.58,2024-08-04T20_56_15
SprintzDelta -100,1046883,870.48,custom_data,4651.9,rowmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1033708,436.4,custom_data,827.03,rowmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,c,1000000,None,0,103.37,2024-08-04T20_56_15
SprintzDelta -100,1046883,827.84,custom_data,4851.8,rowmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1033724,438.09,custom_data,797.94,rowmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,c,1000000,None,0,103.37,2024-08-04T20_56_15
SprintzDelta -100,1040995,858.87,custom_data,4153.79,rowmajor/uint8/custom_data/repeats_50.dat,-1,5,8,0,c,1000000,None,0,104.1,2024-08-04T20_56_15
SprintzDelta_Huf -100,748198,438.86,custom_data,793.58,rowmajor/uint8/custom_data/repeats_50.dat,-1,5,8,0,c,1000000,None,0,74.82,2024-08-04T20_56_15
SprintzDelta -100,1046883,883.51,custom_data,4653.87,rowmajor/uint8/custom_data/outliers_20.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1023524,444.12,custom_data,819.47,rowmajor/uint8/custom_data/outliers_20.dat,-1,5,8,0,c,1000000,None,0,102.35,2024-08-04T20_56_15
SprintzDelta -100,1046883,857.3,custom_data,4604.05,rowmajor/uint8/custom_data/outliers_2.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1033724,446.58,custom_data,825.21,rowmajor/uint8/custom_data/outliers_2.dat,-1,5,8,0,c,1000000,None,0,103.37,2024-08-04T20_56_15
SprintzDelta -100,1046827,873.18,custom_data,4632.29,rowmajor/uint8/custom_data/repeats_30.dat,-1,5,8,0,c,1000000,None,0,104.68,2024-08-04T20_56_15
SprintzDelta_Huf -100,866579,409.46,custom_data,762.23,rowmajor/uint8/custom_data/repeats_30.dat,-1,5,8,0,c,1000000,None,0,86.66,2024-08-04T20_56_15
SprintzDelta -100,1046883,868.45,custom_data,4628.41,rowmajor/uint8/custom_data/outliers_10.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1032615,441.28,custom_data,796.26,rowmajor/uint8/custom_data/outliers_10.dat,-1,5,8,0,c,1000000,None,0,103.26,2024-08-04T20_56_15
SprintzDelta -100,431507,742.62,custom_data,4732.88,rowmajor/uint8/custom_data/delta_10000.dat,-1,5,8,0,c,1000000,None,0,43.15,2024-08-04T20_56_15
SprintzDelta_Huf -100,434479,573.33,custom_data,1480.29,rowmajor/uint8/custom_data/delta_10000.dat,-1,5,8,0,c,1000000,None,0,43.45,2024-08-04T20_56_15
SprintzDelta -100,431531,820.03,custom_data,4549.71,rowmajor/uint8/custom_data/delta_1.dat,-1,5,8,0,c,1000000,None,0,43.15,2024-08-04T20_56_15
SprintzDelta_Huf -100,434464,579.93,custom_data,1462.05,rowmajor/uint8/custom_data/delta_1.dat,-1,5,8,0,c,1000000,None,0,43.45,2024-08-04T20_56_15
SprintzDelta -100,431507,855.49,custom_data,4642.16,rowmajor/uint8/custom_data/delta_2000.dat,-1,5,8,0,c,1000000,None,0,43.15,2024-08-04T20_56_15
SprintzDelta_Huf -100,434479,576.61,custom_data,1482.14,rowmajor/uint8/custom_data/delta_2000.dat,-1,5,8,0,c,1000000,None,0,43.45,2024-08-04T20_56_15
SprintzDelta -100,1046883,876.16,custom_data,4616.21,rowmajor/uint8/custom_data/repeats_10.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,995499,434.08,custom_data,822.81,rowmajor/uint8/custom_data/repeats_10.dat,-1,5,8,0,c,1000000,None,0,99.55,2024-08-04T20_56_15
SprintzDelta -100,1686,1084.98,custom_data,12740.8,rowmajor/uint8/custom_data/delta_0.dat,-1,5,8,0,c,1000000,None,0,0.17,2024-08-04T20_56_15
SprintzDelta_Huf -100,3515,953.65,custom_data,9168.0,rowmajor/uint8/custom_data/delta_0.dat,-1,5,8,0,c,1000000,None,0,0.35,2024-08-04T20_56_15
SprintzDelta -100,974547,829.26,custom_data,3865.96,rowmajor/uint8/custom_data/repeats_70.dat,-1,5,8,0,c,1000000,None,0,97.45,2024-08-04T20_56_15
SprintzDelta_Huf -100,555943,442.83,custom_data,877.47,rowmajor/uint8/custom_data/repeats_70.dat,-1,5,8,0,c,1000000,None,0,55.59,2024-08-04T20_56_15
SprintzDelta -100,1046883,867.47,custom_data,4696.78,rowmajor/uint8/custom_data/outliers_5.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1033681,443.37,custom_data,819.36,rowmajor/uint8/custom_data/outliers_5.dat,-1,5,8,0,c,1000000,None,0,103.37,2024-08-04T20_56_15
SprintzDelta -100,431507,845.32,custom_data,4689.73,rowmajor/uint8/custom_data/delta_5.dat,-1,5,8,0,c,1000000,None,0,43.15,2024-08-04T20_56_15
SprintzDelta_Huf -100,434477,576.4,custom_data,1481.54,rowmajor/uint8/custom_data/delta_5.dat,-1,5,8,0,c,1000000,None,0,43.45,2024-08-04T20_56_15
SprintzDelta -100,431507,862.35,custom_data,4711.2,rowmajor/uint8/custom_data/delta_100.dat,-1,5,8,0,c,1000000,None,0,43.15,2024-08-04T20_56_15
SprintzDelta_Huf -100,434479,577.85,custom_data,1479.37,rowmajor/uint8/custom_data/delta_100.dat,-1,5,8,0,c,1000000,None,0,43.45,2024-08-04T20_56_15
SprintzDelta -100,1046883,873.07,custom_data,4723.02,rowmajor/uint8/custom_data/repeats_0.dat,-1,5,8,0,c,1000000,None,0,104.69,2024-08-04T20_56_15
SprintzDelta_Huf -100,1033707,446.67,custom_data,828.44,rowmajor/uint8/custom_data/repeats_0.dat,-1,5,8,0,c,1000000,None,0,103.37,2024-08-04T20_56_15
SprintzDelta -100,614355,848.66,custom_data,4684.87,rowmajor/uint8/custom_data/repeats_90.dat,-1,5,8,0,c,1000000,None,0,61.44,2024-08-04T20_56_15
SprintzDelta_Huf -100,281408,513.7,custom_data,1296.49,rowmajor/uint8/custom_data/repeats_90.dat,-1,5,8,0,c,1000000,None,0,28.14,2024-08-04T20_56_15
