Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
11551.08,6343.69,1000000,1000000,100.0,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,Memcpy,2024-08-04T09_54_37
841.73,4422.9,1000000,431523,43.15,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
566.55,1437.24,1000000,434462,43.45,rowmajor/uint8/custom_data/delta_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
847.75,3274.38,19009000,7401921,38.94,rowmajor/uint8/custom_data/custom_data.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
607.77,1447.94,19009000,7271144,38.25,rowmajor/uint8/custom_data/custom_data.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
827.23,3634.54,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
430.94,788.61,1000000,1033708,103.37,rowmajor/uint8/custom_data/outliers_0.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
831.98,4178.33,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
436.88,799.91,1000000,1033724,103.37,rowmajor/uint8/custom_data/outliers_1.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
1028.61,8700.42,1000000,4769,0.48,rowmajor/uint8/custom_data/repeats_50.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
876.99,6150.59,1000000,9666,0.97,rowmajor/uint8/custom_data/repeats_50.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
844.15,3984.02,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_20.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
440.27,797.08,1000000,1023524,102.35,rowmajor/uint8/custom_data/outliers_20.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
856.81,4047.17,1000000,1046883,104.69,rowmajor/uint8/custom_data/outliers_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta -100,2024-08-04T09_54_37
444.16,807.43,1000000,1033724,103.37,rowmajor/uint8/custom_data/outliers_2.dat,custom_data,-1,1,8,c,,0,0,SprintzDelta_Huf -100,2024-08-04T09_54_37
