Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,1000000,19714.14,custom_data,9229.78,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zlib -1,675369,62.33,custom_data,227.98,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,67.54,2024-08-04T10_09_50
Zlib -9,678385,23.04,custom_data,222.67,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,67.84,2024-08-04T10_09_50
Zstd -1,998044,1706.84,custom_data,9929.5,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,99.8,2024-08-04T10_09_50
Zstd -9,664153,44.59,custom_data,640.92,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,66.42,2024-08-04T10_09_50
LZ4,975536,1251.12,custom_data,4919.71,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,97.55,2024-08-04T10_09_50
LZO -1,980672,1768.35,custom_data,2575.57,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,98.07,2024-08-04T10_09_50
LZO -9,980672,1767.44,custom_data,2552.84,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,98.07,2024-08-04T10_09_50
Huffman,1000064,3371.2,custom_data,6819.98,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,100.01,2024-08-04T10_09_50
Snappy,967753,1154.94,custom_data,3088.21,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,96.78,2024-08-04T10_09_50
Brotli -1,936129,236.78,custom_data,273.3,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,93.61,2024-08-04T10_09_50
Brotli -9,591770,10.3,custom_data,215.13,colmajor/uint8/custom_data/delta_2.dat,-1,5,8,0,f,1000000,None,0,59.18,2024-08-04T10_09_50
Zlib -1,4144112,212.89,custom_data,617.68,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,21.8,2024-08-04T10_09_50
Zlib -9,3048881,48.99,custom_data,454.28,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,16.04,2024-08-04T10_09_50
Zstd -1,2377422,1277.1,custom_data,1902.78,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,12.51,2024-08-04T10_09_50
Zstd -9,2041366,250.77,custom_data,1907.6,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,10.74,2024-08-04T10_09_50
LZ4,4758822,1292.87,custom_data,3649.39,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,25.03,2024-08-04T10_09_50
LZO -1,7843798,2698.56,custom_data,1458.6,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,41.26,2024-08-04T10_09_50
LZO -9,7843798,2691.87,custom_data,1475.9,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,41.26,2024-08-04T10_09_50
Huffman,12905160,1086.4,custom_data,838.63,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,67.89,2024-08-04T10_09_50
Snappy,8089000,2609.56,custom_data,2632.56,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,42.55,2024-08-04T10_09_50
Brotli -1,2748778,736.0,custom_data,581.37,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,14.46,2024-08-04T10_09_50
Brotli -9,1866624,39.35,custom_data,699.38,colmajor/uint8/custom_data/custom_data.dat,-1,5,8,0,f,19009000,None,0,9.82,2024-08-04T10_09_50
Zlib -1,1000000,53.61,custom_data,10346.4,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zlib -9,1000000,55.17,custom_data,9845.33,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zstd -1,1000034,2720.39,custom_data,11123.47,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zstd -9,1000033,582.81,custom_data,10090.0,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
LZ4,1003923,20406.91,custom_data,10105.3,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.39,2024-08-04T10_09_50
LZO -1,1003926,19000.57,custom_data,4484.47,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.39,2024-08-04T10_09_50
LZO -9,1003926,7712.18,custom_data,5229.52,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.39,2024-08-04T10_09_50
Huffman,1000064,1354.67,custom_data,6139.23,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.01,2024-08-04T10_09_50
Snappy,1000051,10403.45,custom_data,4684.41,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.01,2024-08-04T10_09_50
Brotli -1,1000005,2664.39,custom_data,4218.89,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Brotli -9,1000005,53.02,custom_data,7919.6,colmajor/uint8/custom_data/outliers_0.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zlib -1,1000000,53.51,custom_data,11108.77,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zlib -9,1000000,54.81,custom_data,10082.98,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zstd -1,1000034,1007.25,custom_data,10761.37,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
Zstd -9,1000033,421.4,custom_data,10078.92,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.0,2024-08-04T10_09_50
LZ4,1003923,19399.77,custom_data,5743.86,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.39,2024-08-04T10_09_50
LZO -1,1003926,7716.94,custom_data,5263.46,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.39,2024-08-04T10_09_50
LZO -9,1003926,7715.75,custom_data,5273.18,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,100.39,2024-08-04T10_09_50
Huffman,999105,627.24,custom_data,573.59,colmajor/uint8/custom_data/outliers_1.dat,-1,5,8,0,f,1000000,None,0,99.91,2024-08-04T10_09_50
