Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,Dataset,Memlimit,MinIters,Nbits,Order,Preprocs,Nthreads,Query,Algorithm,__pyience_timestamp__
5633.71,4799.39,75213072,75213072,100.0,rowmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,c,,0,0,Memcpy,2024-08-05T17_27_31
589.25,2406.38,75213072,39356580,52.33,rowmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,c,,0,0,SprintzDelta -18,2024-08-05T17_27_31
142.3,264.27,75213072,34943170,46.46,rowmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,c,,0,0,SprintzDelta_Huf -18,2024-08-05T17_27_31
588.25,2584.62,75748698,33497650,44.22,rowmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,c,,0,0,SprintzDelta -18,2024-08-05T17_27_31
150.98,281.42,75748698,26887210,35.5,rowmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,c,,0,0,SprintzDelta_Huf -18,2024-08-05T17_27_31
592.43,2678.68,150961860,65696366,43.52,rowmajor/uint8/uci_gas/uci_gas.dat,uci_gas,1,1,8,c,,0,0,SprintzDelta -18,2024-08-05T17_27_31
157.97,288.19,150961860,51243212,33.94,rowmajor/uint8/uci_gas/uci_gas.dat,uci_gas,1,1,8,c,,0,0,SprintzDelta_Huf -18,2024-08-05T17_27_31
6935.57,4174.26,75213072,75213072,100.0,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Memcpy,2024-08-05T17_30_02
68.46,203.47,75213072,21618910,28.74,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Zlib -1,2024-08-05T17_30_02
17.51,207.55,75213072,19337978,25.71,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Zlib -9,2024-08-05T17_30_02
174.04,313.56,75213072,21901308,29.12,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Zstd -1,2024-08-05T17_30_02
27.0,323.11,75213072,20510248,27.27,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Zstd -9,2024-08-05T17_30_02
464.03,0.0,75213072,43446154,57.76,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,LZ4,2024-08-05T17_30_02
488.48,0.0,75213072,37312009,49.61,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,LZO -1,2024-08-05T17_30_02
489.21,0.0,75213072,37312009,49.61,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,LZO -9,2024-08-05T17_30_02
370.86,614.43,75213072,21320966,28.35,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Huffman,2024-08-05T17_30_02
437.36,0.0,75213072,37663100,50.08,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Snappy,2024-08-05T17_30_02
130.23,207.46,75213072,22051320,29.32,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Brotli -1,2024-08-05T17_30_02
2.21,215.9,75213072,19949026,26.52,colmajor/uint8/uci_gas/ethylene_methane.dat,uci_gas,1,1,8,f,,0,0,Brotli -9,2024-08-05T17_30_02
90.59,265.06,75748698,14396787,19.01,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,Zlib -1,2024-08-05T17_30_02
19.2,258.94,75748698,12173391,16.07,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,Zlib -9,2024-08-05T17_30_02
220.51,362.16,75748698,14829759,19.58,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,Zstd -1,2024-08-05T17_30_02
31.54,439.31,75748698,13457966,17.77,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,Zstd -9,2024-08-05T17_30_02
605.3,1253.97,75748698,29050851,38.35,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,LZ4,2024-08-05T17_30_02
623.66,744.87,75748698,24462307,32.29,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,LZO -1,2024-08-05T17_30_02
621.9,745.51,75748698,24462307,32.29,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,LZO -9,2024-08-05T17_30_02
418.5,729.52,75748698,15467089,20.42,colmajor/uint8/uci_gas/ethylene_CO.dat,uci_gas,1,1,8,f,,0,0,Huffman,2024-08-05T17_30_02
