Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio,__pyience_timestamp__
Memcpy,75213072,10335.42,uci_gas,7422.73,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,100.0,2024-08-05T19_15_25
Zlib -1,21603167,78.48,uci_gas,313.23,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,28.72,2024-08-05T19_15_25
Zlib -9,20020582,5.6,uci_gas,316.59,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,26.62,2024-08-05T19_15_25
Zstd -1,25369278,282.8,uci_gas,555.88,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,33.73,2024-08-05T19_15_25
Zstd -9,20989854,35.09,uci_gas,591.68,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,27.91,2024-08-05T19_15_25
LZ4,41708352,503.27,uci_gas,1144.13,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,55.45,2024-08-05T19_15_25
LZO -1,34378952,548.74,uci_gas,591.23,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,45.71,2024-08-05T19_15_25
LZO -9,34378952,548.72,uci_gas,593.17,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,45.71,2024-08-05T19_15_25
Huffman,39190216,919.01,uci_gas,869.72,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,52.11,2024-08-05T19_15_25
Snappy,34951309,422.0,uci_gas,883.06,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,46.47,2024-08-05T19_15_25
Brotli -1,26775724,227.57,uci_gas,266.51,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,35.6,2024-08-05T19_15_25
Brotli -9,18729913,3.83,uci_gas,298.15,colmajor/uint8/uci_gas/ethylene_methane.dat,20,1,8,0,f,75213072,None,0,24.9,2024-08-05T19_15_25
Zlib -1,13693018,136.29,uci_gas,413.71,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,18.08,2024-08-05T19_15_25
Zlib -9,11934655,6.9,uci_gas,374.54,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,15.76,2024-08-05T19_15_25
Zstd -1,15085144,369.81,uci_gas,627.17,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,19.91,2024-08-05T19_15_25
Zstd -9,12362247,42.12,uci_gas,823.95,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,16.32,2024-08-05T19_15_25
LZ4,28029030,704.05,uci_gas,1297.38,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,37.0,2024-08-05T19_15_25
LZO -1,22245512,756.44,uci_gas,695.13,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,29.37,2024-08-05T19_15_25
LZO -9,22245512,756.53,uci_gas,695.55,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,29.37,2024-08-05T19_15_25
Huffman,31642250,961.52,uci_gas,996.66,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,41.77,2024-08-05T19_15_25
Snappy,22676973,561.59,uci_gas,964.6,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,29.94,2024-08-05T19_15_25
Brotli -1,15996221,289.13,uci_gas,309.24,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,21.12,2024-08-05T19_15_25
Brotli -9,11400067,7.05,uci_gas,400.95,colmajor/uint8/uci_gas/ethylene_CO.dat,20,1,8,0,f,75748698,None,0,15.05,2024-08-05T19_15_25
Zlib -1,24327843,149.75,uci_gas,435.74,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,16.12,2024-08-05T19_15_25
Zlib -9,20278196,5.87,uci_gas,407.78,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,13.43,2024-08-05T19_15_25
Zstd -1,25585353,407.26,uci_gas,631.14,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,16.95,2024-08-05T19_15_25
Zstd -9,21089524,43.83,uci_gas,852.77,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,13.97,2024-08-05T19_15_25
LZ4,50797030,738.07,uci_gas,1295.88,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,33.65,2024-08-05T19_15_25
LZO -1,40372809,837.93,uci_gas,714.2,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,26.74,2024-08-05T19_15_25
LZO -9,40372809,863.36,uci_gas,715.66,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,26.74,2024-08-05T19_15_25
Huffman,59922053,997.66,uci_gas,1048.73,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,39.69,2024-08-05T19_15_25
Snappy,40370320,619.9,uci_gas,1015.55,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,26.74,2024-08-05T19_15_25
Brotli -1,27098174,313.0,uci_gas,330.81,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,17.95,2024-08-05T19_15_25
Brotli -9,19583796,8.42,uci_gas,459.17,colmajor/uint8/uci_gas/uci_gas.dat,20,1,8,0,f,150961860,None,0,12.97,2024-08-05T19_15_25
